,Title,Score,User_Score,Author,Platform,Genre
384,pes-2018,score-8,6.9," ""Oscar Dayus""","-pc-,ps3-,ps4-,360-,one-","Team-Based,Simulation,Soccer,Sports"
385,ys-viii-lacrimosa-of-dana,score-8,7.5," ""Heidi Kemps""","-ns-,-pc-,ps4-,ita-","Role-Playing,Action"
386,ark-survival-evolved,score-6,7," ""Brett Todd""","and-,ios-,lnx-,mac-,-ns-,-pc-,ps4-,one-","3D,Action,Adventure,Survival"
387,metroid-samus-returns,score-9,8.2," ""Peter Brown""",3ds-,"Adventure,Action"
388,knack-2,score-7,7.5," ""Jason D&#039;Aprile""",ps4-,"Adventure,Action"
389,everybodys-golf,score-8,7.8," ""Miguel Concepcion""",ps4-,"Arcade,Sports,Golf"
390,xcom-2-war-of-the-chosen,score-9,8.4," ""Daniel Starkey""","lnx-,mac-,-pc-,ps4-,one-","Strategy,Turn-Based"
391,life-is-strange-before-the-storm-episode-1-awake-r,score-8,7.7," ""Justin Clark""","and-,lnx-,mac-,-pc-,ps4-,one-","Action,Adventure"
392,warriors-all-stars,score-7,7.8," ""Sean Bell""","-pc-,ps4-,ita-","3D,Action,Beat-Em-Up"
393,absolver,score-8,6.5," ""Richard Wakeling""","lnx-,mac-,-pc-,ps4-,one-","Action,Role-Playing"
394,last-day-of-june,score-6,6.1," ""Alex Newhouse""","-ns-,-pc-,ps4-",Adventure
395,mario-rabbids-kingdom-battle,score-9,7.4," ""Edmond Tran""",-ns-,Action
396,f1-2017,score-9,8.1," ""James Swinbanks""","lnx-,mac-,-pc-,ps4-,one-","Simulation,Driving-Racing"
397,distrust,score-7,999," ""Leif Johnson""","ios-,mac-,-pc-,ps4-,one-","Action,Adventure,Survival,3D"
398,guardians-of-the-galaxy-episode-3-more-than-a-feel,score-6,6.8," ""Kallie Plagge""","and-,ios-,mac-,-pc-,ps4-,one-","Adventure,Third-Person,3D"
